id,name,adress,city,type,latitude,longitude
274,CALMETTE,323 avenue Laënnec,Hem,AVEC TPE,3.192974,50.667847
275,LAËNNEC,31 bis rue des Écoles,Hem,AVEC TPE,3.198101,50.665946
176,FACULTÉ DE MÉDECINE,310 Avenue Eugène Avinée,LOOS,AVEC TPE,3.031421,50.604499
175,RECHERCHE,977 Avenue Eugène Avinée,Loos,AVEC TPE,3.038779,50.60301
177,RUE DE LONDRES,2 Rue du Maréchal Foch,Loos,AVEC TPE,3.023032,50.616763
178,LA FILEUSE,81 rue du Maréchal Foch,Loos,AVEC TPE,3.018471,50.615164
198,LOOS CLEMENCEAU,1 rue Georges Clémenceau,Loos,AVEC TPE,3.010842,50.614392
199,GEORGES POTIÉ,55 rue Georges Potié,Loos,AVEC TPE,3.003575,50.612899
276,GEORGES HANNART,141 Rue de la Gare,Croix,AVEC TPE,3.14019,50.67756
265,CROIX CENTRE,3 Place de la République,Croix,AVEC TPE,3.14721,50.67441
200,MAIRIE DE CROIX,232 Rue Jean Jaurès,Croix,AVEC TPE,3.155906,50.679123
201,EDHEC,370 rue Verte,Croix,AVEC TPE,3.163373,50.673699
1,METROPOLE EUROPEENNE DE LILLE,MEL RUE DU BALLON,LILLE,AVEC TPE,3.075992,50.641926
109,SQUARE DU PORTUGAL,FACE AU 204 RUE DE LA BASSEE,LILLE,AVEC TPE,3.030667,50.623466
59,BELFORT,84 RUE DE TREVISE,LILLE,AVEC TPE,3.077127,50.622223
89,BOULEVARD DE METZ,40 BOULEVARD DE METZ,LILLE,AVEC TPE,3.041299,50.619312
92,RUE DE LA GAITE,9 RUE MARCEAU,LILLE,AVEC TPE,3.091106,50.63665
299,TEST CYKLEO LILLE,4 rue du Professeur Langevin,LILLE,AVEC TPE,3.0863797,50.6151322
8,PLACE RICHEBE,3 place Richebé,Lille,AVEC TPE,3.062313,50.632366
16,MAGASIN,4 place Saint-André,Lille,AVEC TPE,3.053499,50.646225
22,LOUISE DE BETTIGNIES,2 avenue du Peuple Belge,Lille,AVEC TPE,3.064974,50.64144
25,GARE LILLE FLANDRES,Place de la Gare,Lille,AVEC TPE,3.069354,50.636399
35,LECLERC,Place du Maréchal Leclerc,Lille,AVEC TPE,3.043307,50.62899
36,CORMONTAIGNE,26 place Cormontaigne,Lille,AVEC TPE,3.039911,50.62624
45,BRULE MAISON,61 Rue des Postes,Lille,AVEC TPE,3.05659,50.62633
47,BOULEVARD LOUIS XIV,4 Boulevard Louis XIV,Lille,AVEC TPE,3.069797,50.62816
2,UNIVERSITE CATHOLIQUE,64 Boulevard Vauban,Lille,AVEC TPE,3.046134,50.632233
9,RUE DE TOUL,18 rue de Toul,Lille,AVEC TPE,3.044986,50.63393
13,QUAI DU WAULT,17 Square Dutilleul,Lille,AVEC TPE,3.054773,50.63671
23,RUE DES ARTS,55 rue des Arts,Lille,AVEC TPE,3.065767,50.639107
37,FULTON,25 rue du Bazinghien,Lille,AVEC TPE,3.037553,50.62337
38,PLACE CASQUETTE,1 rue d'Haubourdin,Lille,AVEC TPE,3.045321,50.62429
40,METRO GAMBETTA,43 rue du Marché,Lille,AVEC TPE,3.051729,50.62614
42,PLACE PHILIPPE LEBON,13 place Phillippe Lebon,Lille,AVEC TPE,3.06209,50.62789
64,MAIRIE DE LILLE,17 rue Saint-Sauveur,Lille,AVEC TPE,3.071392,50.6318
71,BOIS BLANCS,124 Avenue de Dunkerque,Lille,AVEC TPE,3.030778,50.634045
75,EUGENE JACQUET,78 rue Eugène Jacquet,Lille,AVEC TPE,3.084894,50.637337
148,P.I. DE DOUAI,79 Rue du Faubourg de Douai,Lille,AVEC TPE,3.074952,50.612194
171,AUBERGE DE JEUNESSE,235 Boulevard Paul Painlevé,Lille,AVEC TPE,3.080467,50.62479
3,JARDIN VAUBAN,19 Boulevard Vauban,Lille,AVEC TPE,3.050447,50.636093
4,MAISON FOLIE WAZEMMES,11 Rue de l'Hôpital Saint-Roch,Lille,AVEC TPE,3.048961,50.624695
5,MASSENA,87 Rue Masséna,Lille,AVEC TPE,3.054738,50.63156
6,REPUBLIQUE BEAUX ARTS,4 Rue d'Inkermann,Lille,AVEC TPE,3.060299,50.630943
7,PLACE DE STRASBOURG,7 Place de Strasbourg,Lille,AVEC TPE,3.055307,50.633728
10,RIHOUR,28 place Rihour,Lille,AVEC TPE,3.062471,50.63589
11,NOUVEAU SIECLE,16 rue de Pas,Lille,AVEC TPE,3.060977,50.63734
12,OPERA,2 rue Anatole France,Lille,AVEC TPE,3.065902,50.637486
14,CHAMP DE MARS,Pont de la Citadelle / Square Daubenton,Lille,AVEC TPE,3.050661,50.63778
15,ESPLANADE,Pont du Petit Paradis,Lille,AVEC TPE,3.050645,50.6449
17,HALLE AUX SUCRES,33 avenue du Peuple Belge,Lille,AVEC TPE,3.060867,50.644695
18,VOLTAIRE,91 Rue Royale,Lille,AVEC TPE,3.055932,50.6428
19,RUE ROYALE,40 rue Royale,Lille,AVEC TPE,3.05774,50.64031
20,N.D. DE LA TREILLE,11 place Gilleson,Lille,AVEC TPE,3.062053,50.640385
21,PLACE DU CONCERT,2 rue Alphonse Colas,Lille,AVEC TPE,3.061774,50.64193
24,FLANDRES EURALILLE,Place des Buisses,Lille,AVEC TPE,3.070774,50.637078
26,MOLINEL,54 rue du Molinel,Lille,AVEC TPE,3.068007,50.63457
27,TANNEURS,5 rue des Tanneurs,Lille,AVEC TPE,3.064802,50.635014
28,PALAIS RAMEAU,23 rue Solférino,Lille,AVEC TPE,3.048344,50.634686
29,ST SEBASTIEN,52 rue Saint-Sébastien,Lille,AVEC TPE,3.059376,50.647236
30,RUE DE GAND,8 place de Gand,Lille,AVEC TPE,3.067375,50.64297
31,PONT NEUF,38 bis rue du Pont Neuf,Lille,AVEC TPE,3.062935,50.644264
32,PLACE AUX BLEUETS,15 place aux Bleuets,Lille,AVEC TPE,3.067873,50.64142
33,PORT DE LILLE,Rue de Lille (métro Port de Lille),Lille,AVEC TPE,3.035681,50.63022
34,PLACE CATINAT,199 rue Colbert,Lille,AVEC TPE,3.041209,50.63413
